Frequencia_Hz,Z_Real,Fase_Graus
1000,2136.4547392146474,-4.222008255142763
2000,2071.600587994535,-8.133521668166965
3000,1979.5626175610894,-11.503792304002188
4000,1876.1121315513278,-14.219289972741759
5000,1773.5630956825828,-16.27257971723166
6000,1679.2230605154307,-17.72582759852542
7000,1596.2362255507314,-18.673610852003524
8000,1525.1091275395331,-19.216688631062258
9000,1464.9922682967547,-19.447619863137927
10000,1414.4994238649726,-19.44486213995714
11000,1372.1498375951269,-19.27175042396125
12000,1336.5725719330508,-18.977811943914276
13000,1306.5807956627991,-18.600934489418233
14000,1281.1824303340547,-18.16963422489308
15000,1259.563466148825,-17.70509360019061
16000,1241.062173098386,-17.22286193467613
17000,1225.142605641668,-16.73421617251982
18000,1211.370806508759,-16.247222103951625
19000,1199.3947289978314,-15.767548515837946
20000,1188.927842455219,-15.29908511400811
21000,1179.7359808817744,-14.844408165291041
22000,1171.6268908425247,-14.405129687812057
23000,1164.4419595333536,-13.982158425527965
24000,1158.0496747880622,-13.575894399622573
25000,1152.3404488429069,-13.186373635162312
26000,1147.2225115170834,-12.81337559902233
27000,1142.618641049773,-12.456502767158609
28000,1138.4635516105811,-12.115239374729057
29000,1134.701796708802,-11.788994622898665
30000,1131.2860791301132,-11.477134282964824
31000,1128.1758823693556,-11.179003642360417
32000,1125.336357323865,-10.893943993825367
33000,1122.7374125097015,-10.621304314565837
34000,1120.3529672523464,-10.360449368413326
35000,1118.1603359542853,-10.110765154890876
36000,1116.1397182474439,-9.871662397919406
37000,1114.2737750523904,-9.642578593766622
38000,1112.5472746346086,-9.422979007990177
39000,1110.946795934615,-9.212356913595965
40000,1109.460478954207,-9.010233289276762
41000,1108.0778139591152,-8.816156141357316
42000,1106.7894628261834,-8.629699571434568
43000,1105.5871071109882,-8.450462680294587
44000,1104.4633184088934,-8.278068374990069
45000,1103.4114473824193,-8.112162128083234
46000,1102.4255284720546,-7.952410724578831
47000,1101.500197828489,-7.798501021921485
48000,1100.630622426945,-7.650138740804749
49000,1099.8124386685888,-7.507047298825736
50000,1099.0416990554509,-7.368966694758208
51000,1098.314825756172,-7.235652448057603
52000,1097.6285700699348,-7.106874595888215
53000,1096.979976952899,-6.982416748272673
54000,1096.3663539015072,-6.86207520075323
55000,1095.7852435951015,-6.745658103105361
56000,1095.2343997904256,-6.632984682067255
57000,1094.7117660359224,-6.523884515675577
58000,1094.2154568369342,-6.418196856576268
59000,1093.7437409560616,-6.315770001569176
60000,1093.2950265777386,-6.216460704617077
61000,1092.867848103988,-6.1201336305797644
62000,1092.4608543804316,-6.026660847005245
63000,1092.0727981789325,-5.935921351409426
64000,1091.7025267865117,-5.8478006315929845
65000,1091.3489735700252,-5.762190256672367
66000,1091.0111504031088,-5.678987496635247
67000,1090.6881408564643,-5.598094968365496
68000,1090.3790940651133,-5.519420306215983
69000,1090.0832191970414,-5.442875855337057
70000,1089.799780456986,-5.3683783860932905
71000,1089.5280925671955,-5.295848828019899
72000,1089.2675166739798,-5.225212021882755
73000,1089.0174566349488,-5.156396488511799
74000,1088.7773556471284,-5.089334213176898
75000,1088.5466931807493,-5.0239604443678125
76000,1088.324982187531,-4.9602135059262045
77000,1088.111766555809,-4.8980346215577
78000,1087.9066187879337,-4.8373677508262745
79000,1087.7091378780865,-4.778159435801861
80000,1087.5189473710395,-4.7203586575956535
81000,1087.3356935844747,-4.66391670207614
82000,1087.1590439793463,-4.608787034112993
83000,1086.988685664387,-4.5549251797457755
84000,1086.8243240223164,-4.50228861572038
85000,1086.6656814465866,-4.450836665878433
86000,1086.5124961786378,-4.400530403923818
87000,1086.3645212366453,-4.351332562126438
88000,1086.221523427639,-4.303207445556267
89000,1086.0832824356762,-4.256120851471255
90000,1085.9495899794597,-4.210039993510609
91000,1085.8202490334374,-4.164933430370769
92000,1085.6950731069796,-4.120770998665188
93000,1085.573885576748,-4.077523749690912
94000,1085.4565190678259,-4.03516388984506
95000,1085.3428148795879,-3.9936647244530348
96000,1085.2326224526553,-3.953000604787331
97000,1085.1257988736186,-3.91314687807165
98000,1085.0222084145037,-3.8740798402796757
99000,1084.9217221042272,-3.8357766915512865
100000,1084.8242173295343,-3.7982154940614454
