Frequencia_Hz,Z_Real,Z_Imaginario,Fase_Graus,Magnitude_Ohm
1000.0,1981.2506991600126,-135.63835946368152,-3.9164140777474064,1985.8882389198131
1009.2715146305708,1980.908087051281,-136.84813410740236,-3.9519161120499944,1985.6294370183584
1018.6289902446875,1980.559338316431,-138.06781796231138,-3.9877249815223386,1985.3659649921703
1028.0732238308647,1980.204347611005,-139.29746779998956,-4.023842922442896,1985.0977413802616
1037.6050197669117,1979.8430079504997,-140.53714000582536,-4.060272175574481,1984.824683404431
1047.2251898884344,1979.475210691111,-141.78689055309283,-4.097014985787678,1984.546706951825
1056.9345535579885,1979.1008455105014,-143.04677497630885,-4.134073601670817,1984.263726557411
1066.7339377348571,1978.719800388597,-144.31684834385055,-4.171450275126007,1983.9756553863735
1076.6241770454933,1978.3319615884343,-145.59716522982401,-4.209147260951077,1983.6824052164457
1086.6061138545967,1977.937213637066,-146.88777968516456,-4.247166816406881,1983.3838864201748
1096.6805983368686,1977.5354393065404,-148.18874520795956,-4.2855112007698155,1983.080007947138
1106.848488549412,1977.1265195949682,-149.50011471297415,-4.324182674869021,1982.7706773061034
1117.1106505048242,1976.7103337076956,-150.82194050037074,-4.363183500608056,1982.4558005471613
1127.4679582449462,1976.2867590385952,-152.15427422360221,-4.402515940470534,1982.1352822438193
1137.9212939153151,1975.855671151492,-153.49716685647022,-4.44218225700951,1981.8090254750775
1148.471547840289,1975.4169437617456,-154.8506686593282,-4.4821847123200715,1981.4769318074932
1159.1196185988856,1974.9704487180015,-156.21482914441972,-4.522525567494902,1981.1389012772436
1169.866413101307,1974.516055984132,-157.5896970403338,-4.5632070820623145,1980.794832372196
1180.7128466661902,1974.0536336213872,-158.9753202555657,-4.6042315134064555,1980.4446220139964
1191.6598430985587,1973.5830477707755,-160.37174584116582,-4.645601116169182,1980.088165540193
1202.708334768512,1973.1041626356923,-161.7790199524663,-4.687318141633324,1979.7253566863958
1213.8592626906277,1972.6168404648224,-163.197187809866,-4.729384837086784,1979.356087568497
