frequencia,Z_real,Z_imag,fase
25800,1305.7097787682558,-98.63517896244095,-4.32
26000,1305.7097787682558,-98.63517896244095,-4.32
26200,1305.7097787682558,-98.63517896244095,-4.32
26400,1305.7097787682558,-98.63517896244095,-4.32
26600,1305.7097787682558,-98.63517896244095,-4.32
26800,1305.7097787682558,-98.63517896244095,-4.32
27000,1305.7097787682558,-98.63517896244095,-4.32
27200,1305.7097787682558,-98.63517896244095,-4.32
27400,1305.7097787682558,-98.63517896244095,-4.32
27600,1338.3030349945045,-11.212003589808248,-0.48
27800,1288.5120381406373,-26.76549395510377,-1.19
28000,1288.5120381406373,-26.76549395510377,-1.19
28200,1377.1669155651318,-127.75591208559038,-5.3
28400,1377.1669155651318,-127.75591208559038,-5.3
28600,1377.1669155651318,-127.75591208559038,-5.3
28800,1377.1669155651318,-127.75591208559038,-5.3
29000,1377.1669155651318,-127.75591208559038,-5.3
29200,1377.1669155651318,-127.75591208559038,-5.3
29400,1377.1669155651318,-127.75591208559038,-5.3
29600,1377.1669155651318,-127.75591208559038,-5.3
29800,1377.1669155651318,-127.75591208559038,-5.3
30000,1377.1669155651318,-127.75591208559038,-5.3
30200,1377.1669155651318,-127.75591208559038,-5.3
30400,1377.1669155651318,-127.75591208559038,-5.3
30600,1377.1669155651318,-127.75591208559038,-5.3
30800,1377.1669155651318,-127.75591208559038,-5.3
31000,1377.1669155651318,-127.75591208559038,-5.3
31200,1377.1669155651318,-127.75591208559038,-5.3
31400,1377.1669155651318,-127.75591208559038,-5.3
31600,1355.2520592267563,-52.53730923483829,-2.22
31800,1355.2520592267563,-52.53730923483829,-2.22
32000,1355.2520592267563,-52.53730923483829,-2.22
32200,1355.2520592267563,-52.53730923483829,-2.22
32400,1355.2520592267563,-52.53730923483829,-2.22
32600,1355.2520592267563,-52.53730923483829,-2.22
32800,1355.2520592267563,-52.53730923483829,-2.22
33000,1355.2520592267563,-52.53730923483829,-2.22
33200,1355.2520592267563,-52.53730923483829,-2.22
33400,1355.2520592267563,-52.53730923483829,-2.22
33600,1355.2520592267563,-52.53730923483829,-2.22
33800,1355.2520592267563,-52.53730923483829,-2.22
34000,1355.2520592267563,-52.53730923483829,-2.22
34200,1355.2520592267563,-52.53730923483829,-2.22
34400,1355.2520592267563,-52.53730923483829,-2.22
34600,1355.2520592267563,-52.53730923483829,-2.22
34800,1355.2520592267563,-52.53730923483829,-2.22
35000,1355.2520592267563,-52.53730923483829,-2.22
35200,1238.6911452545128,-98.35728121528811,-4.54
35400,1213.4876533708891,-29.65699945059803,-1.4
35600,1213.4876533708891,-29.65699945059803,-1.4
35800,1213.4876533708891,-29.65699945059803,-1.4
36000,1213.4876533708891,-29.65699945059803,-1.4
36200,1264.20989963309,-140.0167606741893,-6.32
36400,1264.20989963309,-140.0167606741893,-6.32
36600,1264.20989963309,-140.0167606741893,-6.32
36800,1264.20989963309,-140.0167606741893,-6.32
37000,1264.20989963309,-140.0167606741893,-6.32
37200,1264.20989963309,-140.0167606741893,-6.32
37400,1264.20989963309,-140.0167606741893,-6.32
37600,1334.5047253072537,-114.8766805431437,-4.92
37800,1334.5047253072537,-114.8766805431437,-4.92
38000,1334.5047253072537,-114.8766805431437,-4.92
38200,1334.5047253072537,-114.8766805431437,-4.92
38400,1334.5047253072537,-114.8766805431437,-4.92
38600,1334.5047253072537,-114.8766805431437,-4.92
38800,1334.5047253072537,-114.8766805431437,-4.92
39000,1334.5047253072537,-114.8766805431437,-4.92
39200,1334.5047253072537,-114.8766805431437,-4.92
39400,1334.5047253072537,-114.8766805431437,-4.92
39600,1334.5047253072537,-114.8766805431437,-4.92
39800,1297.4311622348341,-33.7478319595081,-1.49
40000,1297.4311622348341,-33.7478319595081,-1.49
40200,1297.4311622348341,-33.7478319595081,-1.49
40400,1297.4311622348341,-33.7478319595081,-1.49
40600,1297.4311622348341,-33.7478319595081,-1.49
40800,1297.4311622348341,-33.7478319595081,-1.49
41000,1297.4311622348341,-33.7478319595081,-1.49
41200,1297.4311622348341,-33.7478319595081,-1.49
41400,1297.4311622348341,-33.7478319595081,-1.49
41600,1297.4311622348341,-33.7478319595081,-1.49
41800,1297.4311622348341,-33.7478319595081,-1.49
